sentences,article,N_sentence,is_propaganda,affin_score
"Haig strongly denies that.
",727128296,18,non-propaganda,-2.0
"""I felt that they were hoping that they could find a connection between myself and Paddock, that would go back showing that I supplied him with most of his ammunition, possibly even some firearms,"" Haig said.
",727128296,19,non-propaganda,2.0
"""They're not gonna find it.
",727128296,20,non-propaganda,0.0
"I talked to the guy three times.""
",727128296,21,non-propaganda,0.0
"It's unclear whether Haig is still a person of interest, but he was the only one mentioned by name in the search warrant, other than Marilou Danley - Paddock's girlfriend.
",727128296,22,non-propaganda,0.0
"Authorities have since said they don't plan to bring charges against Danley.
",727128296,23,non-propaganda,-2.0
"Las Vegas gunman's motive still unknown
",727128296,24,non-propaganda,0.0
"Haig does not blame himself, but within weeks of the massacre, he still decided to shut down his business.
",727128296,25,non-propaganda,-2.0
"""I'm still racking my brain for what did I miss.
",727128296,26,propaganda,-2.0
"Why didn't I pick this up?""
",727128296,27,non-propaganda,0.0
"he said.
",727128296,28,non-propaganda,0.0
"Haig, represented by his Phoenix attorneys Marc Victor and Andrew Marcantel, has not been charged.
",727128296,29,non-propaganda,0.0
"His attorneys say he continues to cooperate with investigators.
",727128296,30,non-propaganda,0.0
"CBS News reached out to the FBI and other authorities involved, but none will comment on an active investigation.
",727128296,31,non-propaganda,2.0
"Lawyer: Ammo dealer saw nothing suspicious in Vegas gunman
",727174208,1,non-propaganda,-2.0
"An Arizona man who sold ammunition to the gunman in the deadliest mass shooting in modern U.S. history was disturbed that he didn't spot any suspicious signs about his one-time customer, the man's lawyer said Wednesday.
",727174208,3,propaganda,-4.0
"Douglas Haig had no reason to believe Stephen Paddock would launch the Oct. 1 shooting in Las Vegas that killed 58 people, attorney Marc Victor said.
",727174208,4,non-propaganda,-1.0
"He said Haig wishes he could have figured out the intentions of Paddock but defends the sale of ammunition as legal.
",727174208,5,non-propaganda,2.0
"""He wishes there was some clue that could have identified him,"" Victor said.
",727174208,6,non-propaganda,4.0
"""There was just nothing.""
",727174208,7,non-propaganda,0.0
"Meanwhile, the coroner in Las Vegas started releasing redacted autopsy records about the 58 people killed in the mass shooting at an outdoor concert.
",727174208,8,non-propaganda,-3.0
"Records relating to Paddock were not being provided.
",727174208,9,non-propaganda,0.0
"The records were released Wednesday in response to a public records lawsuit filed by The Associated Press and Las Vegas Review-Journal.
",727174208,10,non-propaganda,-2.0
"Haig was named as a ""person of interest"" in the investigation by mistake Tuesday when court documents were released nearly four months after the shooting.
",727174208,11,non-propaganda,-1.0
"The documents did not disclose why authorities considered Haig a person of interest, and officials haven't said whether he has since been cleared of that designation.
",727174208,12,non-propaganda,2.0
"Victor said his client sold ammunition to Paddock once and doesn't believe they have communicated since.
",727174208,13,non-propaganda,3.0
"""He is as connected (to Paddock) as the guy who sold him a hamburger for lunch,"" Victor said.
",727174208,14,propaganda,3.0
"Las Vegas police and officials with the FBI, U.S. attorney's office in Nevada and the federal Bureau of Alcohol, Tobacco, Firearms and Explosives each declined Wednesday to comment about Haig or the investigation.
",727174208,15,non-propaganda,0.0
"A law enforcement official told The Associated Press in October that Paddock bought 1,000 rounds of tracer ammunition from a private seller he met at a Phoenix gun show three weeks before the shooting.
",727174208,16,non-propaganda,-1.0
"The official spoke anonymously because they weren't authorized to disclose case information.
",727174208,17,non-propaganda,0.0
"Tracer bullets contain a pyrotechnic charge that illuminates the path of fired bullets so shooters can see whether their aim is correct.
",727174208,18,non-propaganda,-2.0
"Haig told the AP on Tuesday that he sold unspecified ammunition to Paddock.
",727174208,19,non-propaganda,0.0
"He also told ""CBS This Morning"" on Wednesday that he sold more than 700 rounds of ammunition to Paddock.
",727174208,20,non-propaganda,0.0
"""I couldn't detect anything wrong with this guy,"" he said of Paddock.
",727174208,21,non-propaganda,-2.0
"The ammunition sale took place at Haig's home in Mesa, because he didn't have all the ammunition on hand that Paddock wanted while at the gun show.
",727174208,22,non-propaganda,-1.0
"Victor said a box that Paddock used to carry ammunition out of Haig's house and bore his client's name was later found in the Las Vegas hotel where the attack was launched.
",727174208,23,non-propaganda,1.0
"It's unknown whether the ammunition Haig sold to Paddock was used in the attack.
",727174208,24,non-propaganda,-1.0
"The lawyer said the type and quantity of ammunition Paddock bought from his client wasn't unusual.
",727174208,25,non-propaganda,0.0
"Robert Spitzer, an expert on firearms and the Second Amendment, said by and large there are no restrictions on the amount of ammunition a person can buy, but a large sale of tracer ammunition would certainly be unusual.
",727174208,26,non-propaganda,-1.0
"Only six states in the U.S. have laws requiring that ammunition buyers pass a background check.
",727174208,27,non-propaganda,0.0
"Arizona and Nevada do not have such a requirement, nor do they mandate that dealers keep a record of ammunition transactions.
",727174208,28,non-propaganda,0.0
"""If you are in the business of selling anything, you are usually happy to make the sale, and there's nothing that says you need to write down this person's name or report the sale,"" said Spitzer, who is the chairman of political science at the State University of New York at Cortland.
",727174208,29,non-propaganda,3.0
"Victor said his client has cooperated with investigators who contacted him within 24 hours of the shooting and has spoken to them probably four or five times, though he hasn't talked to them in months.
",727174208,30,non-propaganda,3.0
"Haig describes himself as a senior engineer for Honeywell Aerospace in his biography on the professional and social media platform LinkedIn.
",727174208,31,non-propaganda,0.0
"Records show Haig also owns Specialized Military Ammunition LLC.
",727174208,32,non-propaganda,0.0
"The company's website says it sold tracer and incendiary ammunition but is now ""closed indefinitely.""
",727174208,33,non-propaganda,0.0
"Haig's name was blacked out in the more than 270 pages of search warrant records released by a Nevada judge to the AP, but remained on one page of documents provided to the Las Vegas Review-Journal.
",727174208,34,non-propaganda,0.0
"The newspaper published the name online.
",727174208,35,non-propaganda,0.0
"Clark County District Court Judge Elissa Cadish later ordered the full document not be published without redactions, but she acknowledged she couldn't order the newspaper to retract the name.
",727174208,36,non-propaganda,0.0
"Haig plans to hold a news conference Friday to discuss his interaction with Paddock.
",727174208,37,non-propaganda,0.0
"Garcia Cano reported from Las Vegas.
",727174208,38,non-propaganda,0.0
"Associated Press writers Ken Ritter in Las Vegas and Anita Snow in Phoenix contributed to this report.
",727174208,39,non-propaganda,0.0
"Billeaud reported from Phoenix.
",727174208,40,non-propaganda,0.0
"India Joins U.S. and China With Plans to Visit the Moon
",727405181,1,non-propaganda,0.0
"So far, no one has ever managed to land on the far side of the moon, or near its shadowy poles.
",727405181,3,non-propaganda,-1.0
"India wants to tackle both those firsts in one fell swoop this year, with its Chandrayaan-2 mission, a trio of orbiter, lander and rover that would represent the country's second visit to the moon.
",727405181,4,propaganda,0.0
"The mission is scheduled to launch sometime in the first half of this year, no earlier than March.
",727405181,5,non-propaganda,-1.0
"Its target is a patch of lunar surface about 370 miles away from the south pole, where scientists think the rock may be 4 billion years old, formed just after the moon's giant ocean of liquid rock began to solidify.
",727405181,6,non-propaganda,2.0
"The region is an area NASA would also like to visit, preferably with a robot that would bring souvenir rock home to Earth for scientists to analyze directly in the laboratory.
",727405181,7,non-propaganda,2.0
"But despite NASA's renewed focus on lunar exploration, as dictated in December by an order from President Trump, the agency won't beat India back to the moon.
",727405181,8,non-propaganda,4.0
"Dibyangshu Sarkar/AFP/Getty Images
",727405181,9,non-propaganda,0.0
"That's even after India's Chandrayaan-2 mission was delayed by three years after Russia backed out of designing and producing the mission's lander.
",727405181,10,non-propaganda,0.0
"Rather than lose out on that part of the mission, the Indian Space Research Organization decided to just do it themselves.
",727405181,11,non-propaganda,0.0
"But they aren't sure how long they can expect the mission to last once the lander and rover arrive—it could be over in as little as two weeks, ending as soon as the sun sets, since the mission runs on solar power and the polar area is quite shadowy even during the day.
",727405181,12,non-propaganda,0.0
"During that time, the team hopes to gather data about charged particles around the moon and the small ""moonquakes"" that ripple through its surface.
",727405181,13,non-propaganda,-1.0
"Read more: China Prepares for Moon Colony By Keeping Students in 'Lunar Palace' for 200 Days
",727405181,14,non-propaganda,0.0
"See all of the best photos of the week in these slideshows
",727405181,15,non-propaganda,3.0
"The new mission's predecessor, Chandrayaan-1, was an orbiter that found the first evidence that there was water ice on the moon.
",727405181,16,non-propaganda,0.0
"Now, scientists know that ice is likely concentrated at the poles, where it could become an important resource for human and robotic explorers alike.
",727405181,17,non-propaganda,2.0
"The orbiter piece of the upcoming mission will look to build on its predecessor by mapping how water actually moves around the moon.
",727405181,18,non-propaganda,0.0
"In the long term, India has its sights set well beyond the moon, with dreams of visiting Mars, Venus or an asteroid.
",727405181,19,non-propaganda,1.0
"Coroner Defies Court Order: Won't Release Las Vegas Shooter's Autopsy Report
",727493378,1,non-propaganda,3.0
"Clark County Nevada Coroner John Fudenberg has determined to defy a court order from a district court judge to release the autopsy report of Las Vegas shooter Stephen Paddock.
",727493378,3,non-propaganda,2.0
"Though the order was issued on Tuesday, Fudenberg conferred with others and seems determined to not release the autopsy report until, as he said, it is ""finalized,"" The Las Vegas Review-Journal reported, which sued for the autopsy report.
",727493378,4,non-propaganda,0.0
"Seriously, it's been four months already!
",727493378,5,propaganda,0.0
"The body has been cremated!
",727493378,6,non-propaganda,0.0
"The family finally got the remains in a box marked ""evidence"" over three months after the shooting and the autopsy report hasn't been finalized?
",727493378,7,propaganda,0.0
"Wait, were the same guys in the autopsy room that were there when the doctors and coroners examined John F Kennedy ?
",727493378,8,propaganda,0.0
"“I don’t believe this is consistent with what the court ordered,” said Las Vegas attorney Maggie McLetchie, who represents the Las Vegas Review-Journal and The Associated Press in their November action demanding the release of the reports.
",727493378,9,non-propaganda,-1.0
"“They (the coroner’s office) have delayed this for too long, and whatever stage the coroner’s report on Paddock is in, it should be provided to the Review-Journal and Associated Press without further delay.
",727493378,10,non-propaganda,-2.0
"No more games.
",727493378,11,propaganda,-1.0
"Release the records.”
",727493378,12,non-propaganda,0.0
"“The court correctly recognized the presumption of public access to records, even when a mass tragedy occurs,” McLetchie added.
",727493378,13,non-propaganda,-2.0
"“(The judge) also rejected arguments by the coroner’s office that there were any privacy interests with regards to the autopsy of Stephen Paddock, let alone any that outweighed the strong presumption of access to records in Nevada.”
",727493378,14,non-propaganda,0.0
"“The shooter’s body was cremated Dec. 21,"" said Review-Journal Editor-in-Chief Keith Moyer added.
",727493378,15,non-propaganda,0.0
"""How can the autopsy report not be ‘finalized’ when the body was cremated more than five weeks ago?
",727493378,16,propaganda,0.0
"The law is squarely on the side of the public’s right to open government.”
",727493378,17,non-propaganda,0.0
"That's exactly right!
",727493378,18,propaganda,0.0
"Something is rotten in Denmark!
",727493378,19,propaganda,-3.0
"On top of that, we have questions as to whether the body was even that of Stephen Paddock, given the fact that certain elements of the Paddock in the preliminary police report, which mentioned the autopsy, are apparently at odds with the Paddock of other documentation.
",727493378,20,propaganda,3.0
"McLetchie has been trying to obtain as much information for the public as possible, including video of Paddock at the Mandalay Bay Hotel and Casino.
",727493378,21,non-propaganda,0.0
"However, she has been told by Las Vegas Metro Police Department attornies that they can't release that information until they finalize their investigation into other suspects which may also produce charges in the case.
",727493378,22,non-propaganda,-3.0
"“The coroner’s office has fought to keep autopsy reports confidential,” the Review-Journal.
",727493378,23,non-propaganda,0.0
"The coroner was ordered on January 11 to pay nearly $32,000 in legal costs to the Review-Journal because it refused to release public records.
",727493378,24,non-propaganda,-2.0
"While the preliminary report indicated the Paddock died of a gun shot wound to the head through the mouth, it's all the details that aren't given that seem to be problematic for the coroner to release.
",727493378,25,non-propaganda,-4.0
"By the way, the toxicology report was not mentioned in the preliminary report.
",727493378,26,propaganda,0.0
"Article posted with permission from Sons Of Liberty Media
",727493378,27,non-propaganda,0.0
"Las Vegas Massacre Coverup: Clark County Coroner Releases 58 Autopsy Reports With All Names Redacted, No Ballistics, And No Stephen Paddock Autopsy
",727497152,1,propaganda,-2.0
"It appears that a further cover-up is underway in regards to the 1 October massacre in which 58 people were killed
",727497152,3,non-propaganda,-6.0
"LAS VEGAS (INTELLIHUB) — The Coroner finally released the autopsy for the 58 victims but not for the alleged shooter Stephen Paddock after a judge ruled that the coroner release all the documents and pay $32,000 in legal fees.
",727497152,4,non-propaganda,-3.0
"Not only did the coroner drag his feet and release the autopsy reports late Wednesday, but all of the names were redacted in the reports, with no mention of ballistic data, bullet caliber, or trajectories.
",727497152,5,propaganda,-2.0
"This, despite the fact that the report does state that recovered bullet fragments were turned over to the police.
",727497152,6,non-propaganda,0.0
"Moreover, against public law, the coroner has still not released the autopsy report for “Stephen Paddock” after an Intellihub article definitively proved the body recovered in Mandalay Bay room 32-135 was not Paddock’s.
",727497152,7,non-propaganda,0.0
"In fact, the coroner claims that he still has to “finalize” the report despite the fact the autopsy was conducted.
",727497152,8,non-propaganda,0.0
"Ammo seller to Las Vegas killer arrested on federal charge
",727634031,1,non-propaganda,-3.0
"(CNN) Douglas Haig, an Arizona man who says he sold tracer ammunition to the gunman in October's Las Vegas massacre, was arrested Friday on a charge of conspiring to manufacture and sell another type of ammunition -- armor-piercing bullets -- in violation of federal law.
",727634031,3,non-propaganda,-5.0
"A criminal complaint alleges two unfired .308-caliber (7.62mm) rounds found in gunman Stephen Paddock's hotel room had Haig's fingerprints on them as well as tool marks from his workshop.
",727634031,4,non-propaganda,-5.0
"The bullets in the cartridges were armor-piercing, with an incendiary capsule in the nose, the complaint says.
",727634031,5,non-propaganda,-2.0
"The FBI on October 19 searched Haig's Mesa home and seized ammunition the agency says is armor-piercing, the complaint said.
",727634031,6,non-propaganda,-2.0
"Haig did not have a license to manufacture armor-piercing ammunition, documents said.
",727634031,7,non-propaganda,0.0
"Police say Paddock, 64, opened fire on October 1 from his 32nd-floor room at Las Vegas' Mandalay Bay hotel onto a crowd attending a music festival, killing 58 people and shooting and injuring 422 others.
",727634031,8,non-propaganda,-5.0
"More than 850 others suffered other injuries in the attack.
",727634031,9,non-propaganda,-5.0
"Investigators say Paddock died of an apparent self-inflicted gunshot wound.
",727634031,10,non-propaganda,-5.0
"Douglas Haig's name was revealed in the release of search warrant records.
",727634031,11,non-propaganda,0.0
"Haig, 55, appeared in court Friday and was released on his own recognizance with specific conditions not spelled out in court proceedings.
",727634031,12,non-propaganda,0.0
"He is due in court again February 15 for a preliminary hearing.
",727634031,13,non-propaganda,0.0
"The maximum penalty for manufacturing illegal ammunition is five years in prison and a $250,000 fine.
",727634031,14,non-propaganda,-5.0
"Haig's attorney, Marc J. Victor, told CNN he had no comment.
",727634031,15,non-propaganda,2.0
"CNN affiliate KNXV caught up with Victor outside court, and the lawyer said he couldn't say anything because of the ongoing case.
",727634031,16,non-propaganda,3.0
"""My first obligation and only obligation is to my client,"" he told KNXV.
",727634031,17,non-propaganda,0.0
"The complaint
",727634031,18,non-propaganda,-2.0
"Haig was publicly linked to the Las Vegas investigation Tuesday when a judge unsealed months-old police search warrant records that named him as a person of interest
",727634031,19,non-propaganda,1.0
"In a Friday morning news conference before his arrest, Haig, responding to the documents' release, said he sold tracer ammunition to Paddock at his home in September after they met at a gun show.
",727634031,20,non-propaganda,-3.0
"Tracer ammunition has a pyrotechnic charge that, when fired, leaves an illuminated trace that can help a shooter have a more precise idea of where the bullet is going.
",727634031,21,non-propaganda,0.0
"Haig did not describe the ammunition as armor-piercing.
",727634031,22,non-propaganda,0.0
"Victor, at the same news conference at his Phoenix-area office, said the tracer ammunition that Haig sold Paddock ""was not modified in any way ... from manufacturer's specs.""
",727634031,23,non-propaganda,3.0
"But in Friday's criminal complaint, investigators say Haig and an associate also claimed they sold to Paddock other ammunition -- four or five 10-round packages of .308-caliber incendiary ammunition -- at a Las Vegas gun show in August.
",727634031,24,non-propaganda,-6.0
"It's not clear from the complaint whether the two armor-piercing rounds with the incendiary capsule are from the packages Haig allegedly told investigators he sold Paddock at the gun show.
",727634031,25,non-propaganda,-2.0
"The complaint also does not say whether Paddock fired any of the ammunition that he bought from Haig.
",727634031,26,non-propaganda,-4.0
"Photos: Mass shooting at Las Vegas music festival Photos: Mass shooting at Las Vegas music festival Debris is scattered on the ground Monday, October 2, at the site of a country music festival held this past weekend in Las Vegas.
",727634031,27,non-propaganda,0.0
"Dozens of people were killed and hundreds were injured Sunday when a gunman opened fire on the crowd.
",727634031,28,non-propaganda,-7.0
"Police said the gunman fired from the Mandalay Bay hotel, several hundred feet southwest of the concert grounds.
",727634031,29,non-propaganda,-2.0
"It is the deadliest mass shooting in modern US history.
",727634031,30,non-propaganda,0.0
"Hide Caption 1 of 30 Photos: Mass shooting at Las Vegas music festival Broken windows of the Mandalay Bay are seen early in Las Vegas on Monday.
",727634031,31,non-propaganda,-2.0
"Police said the gunman fired on the crowd from the 32nd floor of the hotel.
",727634031,32,non-propaganda,-2.0
"Hide Caption 2 of 30 Photos: Mass shooting at Las Vegas music festival People cross a street near the Las Vegas Strip just after sunrise on Monday.
",727634031,33,non-propaganda,-1.0
"Thousands were attending the music festival, Route 91 Harvest, when the shooting started.
",727634031,34,non-propaganda,0.0
"Hide Caption 3 of 30 Photos: Mass shooting at Las Vegas music festival People embrace outside the Thomas & Mack Center after the shooting.
",727634031,35,non-propaganda,0.0
"Hide Caption 4 of 30 Photos: Mass shooting at Las Vegas music festival Police arrive at the Sands Corporation plane hangar where some people ran to safety after the shooting.
",727634031,36,non-propaganda,0.0
"Hide Caption 5 of 30 Photos: Mass shooting at Las Vegas music festival A woman cries while hiding inside the Sands Corporation plane hangar.
",727634031,37,non-propaganda,-4.0
"Hide Caption 6 of 30 Photos: Mass shooting at Las Vegas music festival Concertgoers dive over a fence to take cover from gunfire on Sunday night.
",727634031,38,non-propaganda,-1.0
"Hide Caption 7 of 30 Photos: Mass shooting at Las Vegas music festival Police take position outside the Mandalay Bay.
",727634031,39,non-propaganda,-1.0
"Hide Caption 8 of 30 Photos: Mass shooting at Las Vegas music festival A man lays on top of a woman as others flee the festival grounds.
",727634031,40,non-propaganda,1.0
"The woman reportedly got up from the scene.
",727634031,41,non-propaganda,0.0
"Hide Caption 9 of 30 Photos: Mass shooting at Las Vegas music festival Hide Caption 10 of 30 Photos: Mass shooting at Las Vegas music festival People are seen on the ground after the gunman opened fire.
",727634031,42,non-propaganda,-4.0
"Hide Caption 11 of 30 Photos: Mass shooting at Las Vegas music festival People run from the festival grounds.
",727634031,43,non-propaganda,-1.0
"Hide Caption 12 of 30 Photos: Mass shooting at Las Vegas music festival A woman is moved outside the Las Vegas Tropicana resort.
",727634031,44,non-propaganda,-1.0
"Multiple victims were being transported to hospitals in the aftermath of the shooting.
",727634031,45,non-propaganda,-3.0
"Hide Caption 13 of 30 Photos: Mass shooting at Las Vegas music festival People are searched by police at the Tropicana.
",727634031,46,non-propaganda,-1.0
"Hide Caption 14 of 30 Photos: Mass shooting at Las Vegas music festival An ambulance leaves the intersection of Las Vegas Boulevard and Tropicana Avenue.
",727634031,47,non-propaganda,-1.0
"Hide Caption 15 of 30 Photos: Mass shooting at Las Vegas music festival A man in a wheelchair is evacuated from the festival after gunfire was heard.
",727634031,48,non-propaganda,-2.0
"Hide Caption 16 of 30 Photos: Mass shooting at Las Vegas music festival Victims of the shooting are tended to in the street.
",727634031,49,non-propaganda,-4.0
"Hide Caption 17 of 30 Photos: Mass shooting at Las Vegas music festival Concertgoers help an injured person at the scene.
",727634031,50,non-propaganda,-1.0
"Hide Caption 18 of 30 Photos: Mass shooting at Las Vegas music festival People gather around a victim outside the festival grounds.
",727634031,51,non-propaganda,-4.0
"Hide Caption 19 of 30 Photos: Mass shooting at Las Vegas music festival A couple huddles after shots rang out at the festival.
",727634031,52,non-propaganda,-1.0
"Hide Caption 20 of 30 Photos: Mass shooting at Las Vegas music festival An injured woman is helped at the Tropicana.
",727634031,53,non-propaganda,-3.0
"Hide Caption 21 of 30 Photos: Mass shooting at Las Vegas music festival Police and emergency responders gather at the intersection of Las Vegas Boulevard and Tropicana Avenue.
",727634031,54,non-propaganda,-3.0
"Hide Caption 22 of 30 Photos: Mass shooting at Las Vegas music festival A police officer takes position behind a truck.
",727634031,55,non-propaganda,-1.0
"Hide Caption 23 of 30 Photos: Mass shooting at Las Vegas music festival A crowd takes cover at the festival grounds.
",727634031,56,non-propaganda,-1.0
"Hide Caption 24 of 30 Photos: Mass shooting at Las Vegas music festival Police officers advise people to take cover in the wake of the shooting.
",727634031,57,non-propaganda,-1.0
"Hide Caption 25 of 30 Photos: Mass shooting at Las Vegas music festival People tend to a victim at the festival grounds.
",727634031,58,non-propaganda,-4.0
"Hide Caption 26 of 30 Photos: Mass shooting at Las Vegas music festival Police stand at the scene of the shooting.
",727634031,59,non-propaganda,-1.0
"Hide Caption 27 of 30 Photos: Mass shooting at Las Vegas music festival A woman sits on a curb at the scene of the shooting.
",727634031,60,non-propaganda,-1.0
"Hide Caption 28 of 30 Photos: Mass shooting at Las Vegas music festival Police are deployed to the scene.
",727634031,61,non-propaganda,-1.0
"Hide Caption 29 of 30 Photos: Mass shooting at Las Vegas music festival A man makes a phone call as people run from the festival grounds.
",727634031,62,non-propaganda,-1.0
"Hide Caption 30 of 30
",727634031,63,non-propaganda,-1.0
"Two law enforcement sources told CNN in October that Paddock, during the massacre, fired incendiary bullets at a 43,000-barrel fuel tank on the grounds of nearby McCarran International Airport in what investigators believe was a failed attempt to cause an explosion.
",727634031,64,non-propaganda,-4.0
"Haig did not mention the incendiary rounds -- which are meant to ignite what they hit -- in Friday's news conference.
",727634031,65,propaganda,0.0
"Victor, his attorney, declined to comment about CNN's questions about the incendiary rounds.
",727634031,66,non-propaganda,3.0
"The complaint does not name Haig's associate.
",727634031,67,non-propaganda,-2.0
"The law enforcement sources also said tracer rounds were found in Paddock's hotel room.
",727634031,68,non-propaganda,0.0
"But there was no evidence the tracer rounds were used during the attack, according to the sources, who requested anonymity because they were not authorized to speak publicly about such details.
",727634031,69,non-propaganda,-2.0
"Authorities have repeatedly said Paddock was the only shooter.
",727634031,70,non-propaganda,0.0
"Friday's charges do not allege that Haig knew of Paddock's intentions to kill in Las Vegas.
",727634031,71,non-propaganda,-5.0
"Haig says he saw nothing suspicious
",727634031,72,non-propaganda,-2.0
"Haig, an aerospace engineer and part-time ammunition reseller, said at Friday's news conference that he never saw anything suspicious in his brief interactions with Paddock.
",727634031,73,non-propaganda,-2.0
"Paddock arrived at the seller's home in Mesa ""very well-dressed, very well-groomed, very polite, very respectful,"" Haig said.
",727634031,74,non-propaganda,4.0
"""At no time did I see anything suspicious or odd or any kind of a tell, anything that would set off an alarm,"" he said.
",727634031,75,non-propaganda,-7.0
"Haig also said that he received death threats after his name was revealed this week.
",727634031,76,non-propaganda,-4.0
"He stressed that his sale made ""no contribution"" to the killings since Paddock didn't appear to have fired tracer rounds.
",727634031,77,non-propaganda,-5.0
"""I hope today ends (the death threats) when people realize that I wasn't in collusion with Paddock -- that I was not in any way, shape or form associated with the horrible crime that he committed,"" Haig said.
",727634031,78,non-propaganda,-7.0
"Timeline of sales
",727634031,79,non-propaganda,0.0
"Haig said he sold 720 rounds of surplus US military tracer ammunition to Paddock at his home in September after Paddock approached him or an associate at gun shows.
",727634031,80,non-propaganda,-1.0
"JUST WATCHED Man who sold Vegas shooter ammo speaks out Replay More Videos ... MUST WATCH Man who sold Vegas shooter ammo speaks out 01:00
",727634031,81,non-propaganda,0.0
"He held Friday's news conference to protect his reputation, he and his attorney said.
",727634031,82,non-propaganda,1.0
"They gave the following timeline:
",727634031,83,non-propaganda,0.0
"• Paddock first approached Haig's table at a Las Vegas gun show sometime last year but met another person who was behind the table.
",727634031,84,non-propaganda,-1.0
"• Haig first met Paddock at a subsequent Phoenix gun show, where he was selling ammunition.
",727634031,85,non-propaganda,-1.0
"• Paddock took Haig's business card because the seller didn't have the quantity of trace ammunition that he wanted.
",727634031,86,non-propaganda,0.0
"• Paddock later called Haig three times to arrange a sale at Haig's home.
",727634031,87,non-propaganda,0.0
"• In September, Paddock arrived at Haig's home, bought the tracer ammunition and drove away.
",727634031,88,non-propaganda,0.0
"The ammunition, he said, was:
",727634031,89,non-propaganda,0.0
"• 600 rounds of 7.62mm NATO, M62, tracer ammunition, manufactured by the Lake City Army Ammunition Plant in Independence, Missouri.
",727634031,90,non-propaganda,0.0
"• 120 rounds of 5.56mm M196 tracer ammunition, manufactured by the same plant.
",727634031,91,non-propaganda,0.0
"He said the 5.56mm rounds were in their original packaging.
",727634031,92,non-propaganda,0.0
"He did not comment on the 7.62mm rounds' packaging.
",727634031,93,non-propaganda,0.0
"Before the sale, Paddock told him ""that he was going to go out to the desert and put on a light show"" with the ammunition -- that he was ""going to go out and shoot it at night with friends.""
",727634031,94,non-propaganda,-1.0
"Seller's reaction to massacre: 'Revulsion'
",727634031,95,non-propaganda,0.0
"Victor said police found his client's name and address on a box that Paddock had -- a box that Haig gave him to carry the tracer rounds he had bought.
",727634031,96,non-propaganda,3.0
"Haig said he learned of the massacre when authorities contacted him at work the next morning.
",727634031,97,non-propaganda,0.0
"""Revulsion,"" Haig said of his reaction.
",727634031,98,non-propaganda,0.0
"""Sickness.
",727634031,99,propaganda,-2.0
"Horror that this man would do something like that.""
",727634031,100,propaganda,2.0
"Haig spoke with investigators four times after the shooting, and has been ""fully cooperative,"" Victor said.
",727634031,101,non-propaganda,3.0
"""This was a routine transaction to purchase a routine type of ammunition that is available in many different retail outlets throughout the state of Arizona,"" Victor said.
",727634031,102,non-propaganda,3.0
"""After that transaction, Doug had absolutely no further contact with Mr.
",727634031,103,non-propaganda,-1.0
"Paddock.""
",727634031,104,non-propaganda,0.0
"Death threats
",727634031,105,non-propaganda,-4.0
"Haig said he's received death threats since the search warrant documents were released Tuesday.
",727634031,106,non-propaganda,-4.0
"""One woman (was) screaming through my door that I should be killed and I should die,"" he told reporters at Friday's news conference.
",727634031,107,propaganda,-8.0
"""It's been not a lot of fun, quite frankly.""
",727634031,108,non-propaganda,4.0
"Haig added, ""I had no contribution to what Paddock did.
",727634031,109,non-propaganda,-1.0
"I had no way to see into his mind.""
",727634031,110,propaganda,-1.0
"Haig named as person of interest
",727634031,111,non-propaganda,1.0
"A Nevada judge on Tuesday unsealed police search warrant records -- prepared shortly after the shooting -- that mentioned two persons of interest in the case.
",727634031,112,non-propaganda,2.0
"The judge released the documents after CNN and other media outlets sued to obtain them.
",727634031,113,non-propaganda,-2.0
"One person of interest, whom police had named previously, was the killer's girlfriend, Marilou Danley.
",727634031,114,non-propaganda,1.0
"Authorities subsequently cleared her publicly.
",727634031,115,non-propaganda,1.0
"The second name was redacted.
",727634031,116,non-propaganda,0.0
"But the Las Vegas Review-Journal reported it had a version of the search warrant that named, without redaction, Haig as that second person.
",727634031,117,non-propaganda,0.0
"The documents didn't explain why he was a person of interest.
",727634031,118,non-propaganda,1.0
"Las Vegas police officials told CNN the department couldn't comment on Haig or any names, and referred questions to federal authorities.
",727634031,119,non-propaganda,0.0
"Sheriff has said feds were investigating someone
",727634031,120,non-propaganda,0.0
"When the search warrant documents were released this week, Clark County District Court Judge Elissa Cadish allowed a small portion of those records to be redacted because ""there is an ongoing investigation regarding charges against another individual, arising out of information obtained in connection with the ... shooting, but not directly related to the shooting.""
",727634031,121,non-propaganda,-2.0
"In response to a question from CNN in January, the Clark County sheriff, Joe Lombardo, said federal authorities are investigating a person in the case.
",727634031,122,non-propaganda,0.0
"That person could face federal charges not directly related to the shooting within the next 60 days, the sheriff said January 19.
",727634031,123,non-propaganda,-2.0
"Lombardo didn't disclose the person's name, saying those details were ""under federal grand jury disclosure"" rules.
",727634031,124,non-propaganda,3.0
"On Friday morning, before his arrest, Haig answered a reporter's question about whether he believed he was that person.
",727634031,125,non-propaganda,-2.0
"""No.
",727634031,126,non-propaganda,-1.0
"I don't think it's me at all,"" Haig said.
",727634031,127,non-propaganda,0.0
"Swiss bishop signs statement calling Pope’s reading of Amoris Laetitia “alien” to the Catholic Faith
",727658675,1,non-propaganda,1.0
"NewsCatholic Church, Family, Marriage
",727658675,3,non-propaganda,0.0
